title,company,location,how old,link
Desenvolvedor Back-end Python,Bravi,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9403cc57a18a86e7&fccid=ea733cebd32530ea&vjs=3
Desenvolvedor Python Back-End,Gateware IT,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f2970d91fdadeb34&fccid=a562518da27c66ae&vjs=3
Controladoria / Custos,Mazzatech,"São Paulo, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=065c619ee3ac0bb1&fccid=7d320c75db933aec&vjs=3
Desenvolvedor(a) Back-end Python júnior,GeekHunter,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6f96bd5bf8f5038d&fccid=9ba8dec3013c0c90&vjs=3
Cientista de Dados Python (remoto),GeekHunter,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=61dbf05c99f34dff&fccid=9ba8dec3013c0c90&vjs=3
DATA ENGINEER,Ci&T,Brasil,há 4 dias,https://br.indeed.com/rc/clk?jk=d781d5b6089bef48&fccid=289d7ce11c250f70&vjs=3
Programador Back-end Python Junior,Harpio,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ab7e600ac023f50e&fccid=22bb6d797b26b24a&vjs=3
Erlang Developer - Remote,Scrapinghub,"São Paulo, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=497781d681e077fa&fccid=bbc8d5b511e37340&vjs=3
Desenvolvedor(a) Python,Prowork Consultoria,"Belo Horizonte, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b746fccbb523f95c&fccid=ce1ea72f8e039a1d&vjs=3
Desenvolvedor Python Machine Learning Sênior,TAKING,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e126ddb5b99aa719&fccid=54d424b6e8c4e1e7&vjs=3
Backend Developer Sênior (Python),Externo,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=61a1406f67c10abe&fccid=196bc4cd5ffc147f&vjs=3
Software Engineer - Python,Juntos Somos Mais,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=18ee4d7e2c8958a5&fccid=de4d40771cb9097f&vjs=3
Commercial Planning Specialist,99,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2ef830739e06a859&fccid=7c874ded2b2c6886&vjs=3
Desenvolvedor Python/Django (Jr/Pl),Berghem,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e1ec2f14c285e7aa&fccid=e0d9bb13e6fbeb8b&vjs=3
Senior Software Engineer (Python),Acrelec,"São Paulo, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=c3101ba1640808b7&fccid=2686c9f86919a0c0&vjs=3
Test Engineer_Brussels,KCS IT,Exterior,há 12 dias,https://br.indeed.com/rc/clk?jk=53a6f833c4ae4027&fccid=ee421a5b4c76e74e&vjs=3
Customer Solution Center Technician,SUSE,"São Paulo, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=bafedb92e8d0b075&fccid=7d78e83feb99319e&vjs=3
Desenvolvedor(a) Backend - Python,B2W Digital,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=99ba75d5df028d45&fccid=9a54cd3cc68df0fc&vjs=3
Estagiário - Desenvolvimento Java,Job Boards,"Salvador, BA",há 20 dias,https://br.indeed.com/rc/clk?jk=e6fefce6fa37d7a3&fccid=56879fb77e76baab&vjs=3
Data Analyst ll,"RigNet, Inc","Rio de Janeiro, RJ",há 20 dias,"https://br.indeed.com/company/RigNet,-Inc/jobs/Data-Analyst-Ll-307d14a77ae29776?fccid=947fa1ad7c5cae4c&vjs=3"
